Binary;Hex;Unicode;Windows-1250;Character
00111111;0x3F;U+003F;3F;?
01000000;0x40;U+0040;40;@
01000001;0x41;U+0041;41;A
01000010;0x42;U+0042;42;B
01000011;0x43;U+0043;43;C
01000100;0x44;U+0044;44;D
01000101;0x45;U+0045;45;E
01000110;0x46;U+0046;46;F
01000111;0x47;U+0047;47;G
01001000;0x48;U+0048;48;H
01001001;0x49;U+0049;49;I
01001010;0x4A;U+004A;4A;J
01001011;0x4B;U+004B;4B;K
01001100;0x4C;U+004C;4C;L
01001101;0x4D;U+004D;4D;M
01001110;0x4E;U+004E;4E;N
01001111;0x4F;U+004F;4F;O
01010000;0x50;U+0050;50;P
01010001;0x51;U+0051;51;Q
01010010;0x52;U+0052;52;R
01010011;0x53;U+0053;53;S
01010100;0x54;U+0054;54;T
01010101;0x55;U+0055;55;U
01010110;0x56;U+0056;56;V
01010111;0x57;U+0057;57;W
01011000;0x58;U+0058;58;X
01011001;0x59;U+0059;59;Y
01011010;0x5A;U+005A;5A;Z
01011011;0x5B;U+005B;5B;[
01011100;0x5C;U+005C;5C;\
01011101;0x5D;U+005D;5D;]
01011110;0x5E;U+005E;5E;^
01011111;0x5F;U+005F;5F;_
01100000;0x60;U+0060;60;`
01100001;0x61;U+0061;61;a
01100010;0x62;U+0062;62;b
01100011;0x63;U+0063;63;c
01100100;0x64;U+0064;64;d
01100101;0x65;U+0065;65;e
01100110;0x66;U+0066;66;f
01100111;0x67;U+0067;67;g
01101000;0x68;U+0068;68;h
01101001;0x69;U+0069;69;i
01101010;0x6A;U+006A;6A;j
01101011;0x6B;U+006B;6B;k
01101100;0x6C;U+006C;6C;l
01101101;0x6D;U+006D;6D;m
01101110;0x6E;U+006E;6E;n
01101111;0x6F;U+006F;6F;o
01110000;0x70;U+0070;70;p
01110001;0x71;U+0071;71;q
01110010;0x72;U+0072;72;r
01110011;0x73;U+0073;73;s
01110100;0x74;U+0074;74;t
01110101;0x75;U+0075;75;u
01110110;0x76;U+0076;76;v
01110111;0x77;U+0077;77;w
01111000;0x78;U+0078;78;x
01111001;0x79;U+0079;79;y
01111010;0x7A;U+007A;7A;z
01111011;0x7B;U+007B;7B;{
01111100;0x7C;U+007C;7C;|
01111101;0x7D;U+007D;7D;}
01111110;0x7E;U+007E;7E;~
01111111;0x7F;U+007F;7F;
10000000;0x80;U+20AC;80;€
10000001;0x81;U+0081;81;
10000010;0x82;U+201A;82;‚
10000011;0x83;U+0083;83;
10000100;0x84;U+201E;84;„
10000101;0x85;U+2026;85;…
10000110;0x86;U+2020;86;†
10000111;0x87;U+2021;87;‡
10001000;0x88;U+02C6;88;ˆ
10001001;0x89;U+2030;89;‰
10001010;0x8A;U+0160;8A;Š
10001011;0x8B;U+2039;8B;‹
10001100;0x8C;U+015A;8C;Ś
10001101;0x8D;U+0164;8D;Ť
10001110;0x8E;U+017D;8E;Ž
10001111;0x8F;U+0179;8F;Ź
10010000;0x90;U+0090;90;
10010001;0x91;U+2018;91;‘
10010010;0x92;U+2019;92;’
10010011;0x93;U+201C;93;“
10010100;0x94;U+201D;94;”
10010101;0x95;U+2022;95;•
10010110;0x96;U+2013;96;–
10010111;0x97;U+2014;97;—
10011000;0x98;U+02DC;98;˜
10011001;0x99;U+2122;99;™
10011010;0x9A;U+0161;9A;š
10011011;0x9B;U+203A;9B;›
10011100;0x9C;U+015B;9C;ś
10011101;0x9D;U+0165;9D;ť
10011110;0x9E;U+017E;9E;ž
10011111;0x9F;U+017A;9F;ź
10100000;0xA0;U+00A0;A0;
10100001;0xA1;U+02C7;A1;ˇ
10100010;0xA2;U+02D8;A2;˘
10100011;0xA3;U+0141;A3;Ł
10100100;0xA4;U+00A4;A4;
10100101;0xA5;U+0104;A5;Ą
10100110;0xA6;U+00A6;A6;¦
10100111;0xA7;U+00A7;A7;§
10101000;0xA8;U+00A8;A8;¨
10101001;0xA9;U+00A9;A9;©
10101010;0xAA;U+015E;AA;Ş
10101011;0xAB;U+00AB;AB;«
10101100;0xAC;U+00AC;AC;¬
10101101;0xAD;U+00AD;AD;
10101110;0xAE;U+00AE;AE;®
10101111;0xAF;U+017B;AF;Ż
10110000;0xB0;U+00B0;B0;°
10110001;0xB1;U+00B1;B1;±
10110010;0xB2;U+02DB;B2;˛
10110011;0xB3;U+0142;B3;ł
10110100;0xB4;U+00B4;B4;´
10110101;0xB5;U+00B5;B5;µ
10110110;0xB6;U+00B6;B6;¶
10110111;0xB7;U+00B7;B7;·
10111000;0xB8;U+00B8;B8;¸
10111001;0xB9;U+0105;B9;ą
10111010;0xBA;U+015F;BA;ş
10111011;0xBB;U+00BB;BB;»
10111100;0xBC;U+013D;BC;Ľ
10111101;0xBD;U+02C9;BD;ˉ
10111110;0xBE;U+013E;BE;ľ
10111111;0xBF;U+017C;BF;ż
11000000;0xC0;U+0154;C0;Ŕ
11000001;0xC1;U+00C1;C1;Á
11000010;0xC2;U+00C2;C2;Â
11000011;0xC3;U+0102;C3;Ă
11000100;0xC4;U+00C4;C4;Ä
11000101;0xC5;U+0139;C5;Ĺ
11000110;0xC6;U+0106;C6;Ć
11000111;0xC7;U+00C7;C7;Ç
11001000;0xC8;U+010C;C8;Č
11001001;0xC9;U+00C9;C9;É
11001010;0xCA;U+0118;CA;Ę
11001011;0xCB;U+00CB;CB;Ë
11001100;0xCC;U+011A;CC;Ě
11001101;0xCD;U+00CD;CD;Í
11001110;0xCE;U+00CE;CE;Î
11001111;0xCF;U+010E;CF;Ď
11010000;0xD0;U+0110;D0;Đ
11010001;0xD1;U+0143;D1;Ń
11010010;0xD2;U+0147;D2;Ň
11010011;0xD3;U+00D3;D3;Ó
11010100;0xD4;U+00D4;D4;Ô
11010101;0xD5;U+0150;D5;Ő
11010110;0xD6;U+00D6;D6;Ö
11010111;0xD7;U+00D7;D7;
11011000;0xD8;U+0158;D8;Ř
11011001;0xD9;U+016E;D9;Ů
11011010;0xDA;U+00DA;DA;Ú
11011011;0xDB;U+0170;DB;Ű
11011100;0xDC;U+00DC;DC;Ü
11011101;0xDD;U+00DD;DD;Ý
11011110;0xDE;U+0162;DE;Ţ
11011111;0xDF;U+00DF;DF;ß
11100000;0xE0;U+0155;E0;ŕ
11100001;0xE1;U+00E1;E1;á
11100010;0xE2;U+00E2;E2;â
11100011;0xE3;U+0103;E3;ă
11100100;0xE4;U+00E4;E4;ä
11100101;0xE5;U+013A;E5;ĺ
11100110;0xE6;U+0107;E6;ć
11100111;0xE7;U+00E7;E7;ç
11101000;0xE8;U+010D;E8;č
11101001;0xE9;U+00E9;E9;é
11101010;0xEA;U+0119;EA;ę
11101011;0xEB;U+00EB;EB;ë
11101100;0xEC;U+011B;EC;ě
11101101;0xED;U+00ED;ED;í
11101110;0xEE;U+00EE;EE;î
11101111;0xEF;U+010F;EF;ď
11110000;0xF0;U+0111;F0;đ
11110001;0xF1;U+0144;F1;ń
11110010;0xF2;U+0148;F2;ň
11110011;0xF3;U+00F3;F3;ó
11110100;0xF4;U+00F4;F4;ô
11110101;0xF5;U+0151;F5;ő
11110110;0xF6;U+00F6;F6;ö
11110111;0xF7;U+00F7;F7;
11111000;0xF8;U+0159;F8;ř
11111001;0xF9;U+016F;F9;ů
11111010;0xFA;U+00FA;FA;ú
11111011;0xFB;U+0171;FB;ű
11111100;0xFC;U+00FC;FC;ü
11111101;0xFD;U+00FD;FD;ý
11111110;0xFE;U+0163;FE;ţ
11111111;0xFF;U+02D9;FF;˙
